state/region,ages,year,population,state,area (sq. mi),인구밀도
OR,total,1999.0,3393941.0,Oregon,98386.0,34.49617831805338
OR,under18,1999.0,843484.0,Oregon,98386.0,8.573211635801842
OR,total,2001.0,3467937.0,Oregon,98386.0,35.2482771939097
OR,under18,2001.0,848663.0,Oregon,98386.0,8.625851238997418
OR,total,2002.0,3513424.0,Oregon,98386.0,35.71060923302096
OR,under18,2002.0,850733.0,Oregon,98386.0,8.64689081779928
OR,total,2004.0,3569463.0,Oregon,98386.0,36.28019230378306
OR,under18,2004.0,846786.0,Oregon,98386.0,8.606773321407518
OR,total,2003.0,3547376.0,Oregon,98386.0,36.055698981562415
OR,under18,2003.0,850251.0,Oregon,98386.0,8.641991746793243
OR,total,2005.0,3613202.0,Oregon,98386.0,36.72475758746163
OR,under18,2005.0,849323.0,Oregon,98386.0,8.632559510499462
OR,total,2006.0,3670883.0,Oregon,98386.0,37.311030024596995
OR,under18,2006.0,857003.0,Oregon,98386.0,8.710619397068688
OR,total,2008.0,3768748.0,Oregon,98386.0,38.30573455572947
OR,under18,2008.0,865664.0,Oregon,98386.0,8.798650214461407
OR,total,2007.0,3722417.0,Oregon,98386.0,37.83482406033379
OR,under18,2007.0,862161.0,Oregon,98386.0,8.763045555261927
OR,under18,2013.0,857606.0,Oregon,98386.0,8.7167483178501
OR,total,2013.0,3930065.0,Oregon,98386.0,39.94536824344927
OR,total,2009.0,3808600.0,Oregon,98386.0,38.7107921858801
OR,under18,2009.0,866194.0,Oregon,98386.0,8.804037159758503
OR,total,2010.0,3837208.0,Oregon,98386.0,39.00156526335048
OR,under18,2010.0,865129.0,Oregon,98386.0,8.79321244892566
OR,under18,2011.0,862518.0,Oregon,98386.0,8.76667412030167
OR,total,2011.0,3867937.0,Oregon,98386.0,39.31389628605696
OR,under18,2012.0,859910.0,Oregon,98386.0,8.74016628382087
OR,total,2012.0,3899801.0,Oregon,98386.0,39.63776350293741
PA,total,2012.0,12764475.0,Pennsylvania,46058.0,277.1391506361544
PA,under18,2012.0,2737905.0,Pennsylvania,46058.0,59.44472187242173
PA,total,2011.0,12741310.0,Pennsylvania,46058.0,276.6361978375092
PA,under18,2011.0,2761343.0,Pennsylvania,46058.0,59.95360198011203
PA,under18,2010.0,2785316.0,Pennsylvania,46058.0,60.474097876590385
PA,total,2010.0,12710472.0,Pennsylvania,46058.0,275.9666507447132
PA,total,2009.0,12666858.0,Pennsylvania,46058.0,275.01971427330756
PA,under18,2009.0,2804929.0,Pennsylvania,46058.0,60.89993052238482
PA,total,2013.0,12773801.0,Pennsylvania,46058.0,277.3416344608971
PA,under18,2013.0,2715645.0,Pennsylvania,46058.0,58.96141821181988
PA,total,2007.0,12563937.0,Pennsylvania,46058.0,272.78511876329844
PA,under18,2007.0,2839574.0,Pennsylvania,46058.0,61.652134265491334
PA,total,2008.0,12612285.0,Pennsylvania,46058.0,273.83483868166223
PA,under18,2008.0,2821004.0,Pennsylvania,46058.0,61.24894697989492
PA,total,2006.0,12510809.0,Pennsylvania,46058.0,271.63161665725823
PA,under18,2006.0,2850778.0,Pennsylvania,46058.0,61.89539276564332
PA,total,2005.0,12449990.0,Pennsylvania,46058.0,270.3111294454818
PA,under18,2005.0,2859793.0,Pennsylvania,46058.0,62.09112423466065
PA,total,2003.0,12374658.0,Pennsylvania,46058.0,268.6755395371054
PA,under18,2003.0,2883270.0,Pennsylvania,46058.0,62.60085110078597
