Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2020-01-02,68.04620361328125,68.08452005490719,66.76128915563321,66.76128915563321,28132000
2020-01-03,67.7122802734375,68.3014923595591,66.96004487038897,67.07529792848747,23728000
2020-01-06,69.38188171386719,69.49583630215592,67.18179957634237,67.18179957634237,34646000
2020-01-07,69.33857727050781,69.81880085783358,69.19127235651817,69.56749635097823,30054000
2020-01-08,69.88500213623047,70.24628990579961,69.21417581732828,69.27588002329139,30560000
2020-01-09,70.65682983398438,71.03006199373336,70.18107880646254,70.69365795847132,30018000
2020-01-10,71.14950561523438,71.40822890881397,70.58318772267843,71.0415118760559,36414000
2020-01-13,71.62226867675781,71.68646352413954,70.96488276211652,71.46800057652041,33046000
2020-01-14,71.20673370361328,71.75015744005867,71.08182939227687,71.61131918676213,31178000
2020-01-15,71.62076568603516,71.72999714903875,71.17338368354764,71.17338368354764,25654000
2020-01-16,72.24282836914062,72.25726347773951,71.70636779455128,72.03083501729223,23474000
2020-01-17,73.67056274414062,73.71559936874215,72.56729073297409,72.80068235222082,47924000
2020-01-21,73.8701171875,74.24085873765915,73.21322488000433,73.60736178318743,40734000
2020-01-22,73.94725799560547,74.80638616130801,73.89649592184156,74.19857012623973,32216000
2020-01-23,73.98208618164062,74.42349979351208,73.75566532050314,74.03135994138042,27024000
2020-01-24,72.98978424072266,74.4222464701563,72.9171227279688,74.32744252128684,35692000
2020-01-27,71.35701751708984,71.56453831893283,70.7250088867633,71.21270441236497,35104000
2020-01-28,72.28561401367188,72.45680784544032,71.28584811088646,71.80987056953984,31548000
2020-01-29,72.58769226074219,72.92608580028646,71.99598954595203,72.59615133988797,21554000
2020-01-30,72.4488525390625,72.52051172814387,71.48143450289146,71.65859679392226,26788000
2020-01-31,71.37344360351562,73.15997988949793,71.08978349020452,73.09876926273381,48344000
2020-02-03,73.9467544555664,74.14880041149051,72.60561063831744,72.75539861661565,60736000
2020-02-04,72.01242065429688,73.12863193780154,70.9788182849418,72.51006361759383,78660000
2020-02-05,72.07014465332031,72.84696761397448,71.19081040286896,72.77630316487429,39724000
2020-02-06,73.46353912353516,73.75067701435458,72.1368229563463,72.17464582179748,33588000
2020-02-07,73.61284637451172,73.94178614458417,72.97187740173798,73.01915409345457,23446000
2020-02-10,75.0783920288086,75.11919911374271,73.36849619841237,73.36849619841237,28398000
2020-02-11,75.08386993408203,76.12095766481228,74.92701247452665,75.23415907769049,26892000
2020-02-12,75.55563354492188,75.67631590798648,75.05003268527967,75.3670279617218,23352000
2020-02-13,75.37599182128906,75.9990402732199,74.8753646334748,75.27795305804572,18590000
2020-02-14,75.67855834960938,75.67855834960938,75.01171100956715,75.4227661008174,23956000
2020-02-18,75.62529754638672,76.22047804003175,75.27297007257756,75.39290067714538,22414000
2020-02-19,75.97465515136719,76.2441763149109,75.71139856662336,75.89403571728414,18986000
2020-02-20,75.54966735839844,76.12146015343936,74.98584007034944,75.74125716479779,21932000
2020-02-21,73.90544891357422,75.25430756546942,73.67305203772625,75.04604260504198,34634000
2020-02-24,70.74441528320312,71.50979486204967,70.23682499273656,70.96934780847315,57342000
2020-02-25,69.0952377319336,71.56802269658145,68.79416586579799,71.31223804095893,49566000
2020-02-26,69.33061981201172,70.45131882585119,68.6249624458566,69.4779247431001,44048000
2020-02-27,65.59381866455078,68.26187602826585,65.5480302915154,67.78194857537117,59566000
2020-02-28,66.65081024169922,66.7408834910293,63.250415991203695,63.57388465682393,75782000
2020-03-02,69.12808227539062,69.215672482577,66.02801919562621,67.26192108612972,48630000
2020-03-03,66.75332641601562,70.17511501279238,66.28603443608321,69.64114513956,48046000
2020-03-04,68.99918365478516,69.07732003369244,66.83892159728137,67.64112175406288,38266000
2020-03-05,65.64109802246094,67.62520018735992,64.94737756572731,67.19175209183169,51226000
2020-03-06,64.61445617675781,65.0031106203281,62.75526219438357,63.551987477831716,53212000
2020-03-09,60.49148178100586,62.44224108778291,59.71714953025836,59.98089966654274,67308000
2020-03-10,63.71770095825195,63.755523823884545,60.6512240867388,62.703006340955795,52228000
2020-03-11,60.4840202331543,62.750783957248736,59.52157973704793,62.190438284986186,52170000
2020-03-12,55.482704162597656,59.412094420022555,55.402585902001995,56.03459072510004,84534000
2020-03-13,60.69900131225586,60.700493420966005,55.59383298985285,58.672102616166846,74002000
2020-03-16,53.96091842651367,57.34175598785899,53.46875032867121,54.541667669853034,85048000
2020-03-17,55.72605514526367,56.27644580827855,52.55158829559161,54.39784304976598,77230000
2020-03-18,54.58147430419922,55.064188532459035,51.61950198432473,52.576471361871874,84668000
2020-03-19,55.50162124633789,57.62556027175729,52.75552980752347,54.39486379137895,73022000
2020-03-20,53.363250732421875,56.929857717031815,53.02336126073511,56.518305259955,72036000
2020-03-23,52.58195114135742,53.31348689204805,50.43790473543113,52.81584393747912,80882000
2020-03-24,56.45560073852539,56.482473882609035,54.273932745682316,54.92833442896245,66890000
2020-03-25,54.8646354675293,57.174195720333074,54.04451861574049,56.057984515488805,81630000
2020-03-26,57.81367111206055,58.22273291749569,54.41874781625705,55.32794321527644,71434000
2020-03-27,55.27370071411133,57.26228307317733,55.03483421977747,56.01817567477128,64170000
2020-03-30,57.07068634033203,57.310053987846615,54.5655535212399,55.98681933569691,51482000
2020-03-31,57.866416931152344,58.48847059654039,56.6387341862922,57.09457529453084,49728000
2020-04-01,55.0203971862793,56.21822639006784,54.61382603119818,55.83553656818428,46884000
2020-04-02,55.77781295776367,56.07739271152656,54.561573450503005,54.65413355210601,39298000
